Mixture,Count
C1CCCCC1 | C1CCNCC1,9
CCO | C1CCCCC1,20
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCO,40
CCCCCOC(C)=O | CCCCCCCCCCC,16
CN(C)CCN(C)CCN(C)C | O,18
CCOC(C)=O | O,23
CCCCBr | CCCCCCCCO,13
CCCCCCC | CCOC(=O)CC,17
CCCCCC(=O)CC | CCCCCCCCCCCCCC,53
CCOC=O | ClCCCCCCCl,15
CCCCCCC(C)=O | CCCCCCO,38
CCCOCCC | CCC(C)(C)C,19
C=CCCCC | CCCC(C)C,19
CCCO | CC(=O)O,22
CC(=O)O | CCCOC(C)=O,24
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccccn1,18
