Mixture,Count
C[C@@H](N)c1ccccc1,1
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | O,31
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
COC=O | CCCCCCCCCC,30
ClCCCCCCl | CCCOC(C)=O,14
COC(C)(C)CC(C)(C)C,12
C1CCCCC1,42
CC(=O)CC(C)C | O,46
Cc1ccccc1Cl,6
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,60
CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,21
CCCCC(=O)OCC | BrCCCCBr,13
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],60
CCCC(=O)OC | BrCCCCCCBr,14
COC(C)=O | CCCC(=O)OC | CCCCCCCC,98
C=CCCCC,3
CCCC(=O)OCC | BrCCCCBr,11
CCCC(=O)OC[C@H]1CO1,1
Cc1cccnc1 | CO,10
CCCCOC(=O)CC | ClCCCCCl,15
ClC=C(Cl)Cl,2
O | CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,84
CCCCOC(C)=O | ClCCCCCCCl,15
Brc1ccccc1,1
CCOC(C)(C)CC,3
CCOC(C)=O | CCCCCC,67
CCOC(=O)OCC | CCCCCO,45
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | C[N+](=O)[O-],90
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,66
CCOC(=O)CC,3
CCCCOC=O | ClCCCCl,28
CC1CCCCC1,2
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],66
BrCCBr | CCOC(C)=O,13
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCCO,11
ClCCCCl | CCCOC(=O)CCC,15
OCc1ccccc1,8
CCCCC(=O)OCC | ClCCCCl,15
BrCCCCCBr | CCOC(=O)CC,12
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,72
BrCCCBr,1
ClCCCCCCl,1
CCCCOC=O | CCCCCCCCC,76
ClCCCCl | CCCOC=O,14
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N | O,80
COC(C)=O | BrCCCCBr,14
CCC(=O)OC,4
ClCCCl,5
Cc1ccccc1N | Cc1ccccn1,54
C1CCOCC1 | CCCCCC(C)=O,18
CN1CCCCC1 | O,18
CCCCCCCCCCCC | CCCCC(=O)OCC,16
CCOC(=O)CC | ClCCCCCl,15
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,89
BrCCCCCBr | CCCCOC(=O)CC,16
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,2
CCCCNCCCC,2
ClCCCCCCCl | CCCOC(=O)CCC,13
CCOC(C)=O | CCCCCCCCCC,68
C1CCOCC1 | Cc1ccccn1,54
CCCCOC(C)=O,5
CCCCOC=O | BrCCBr,15
OCC(F)(F)F | O,17
CCCCCCCCCCCCCCCCC,1
CCCCCOC=O | ClCCCl,16
CCCCC(=O)OC | CC(C)CC(C)(C)C,16
CCC#N,4
ClCCCCCCCl | CCCOC=O,13
CCc1ccccc1,4
C1CCOCC1 | CCCCCCCCCO,9
CCCCOC(=O)CCC | ClCCCl,16
CCOc1ccccc1,1
CCCC(=O)OC | BrCCCCCBr,13
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,49
CCCCCCC(C)=O,2
CCCCOC=O | BrCCCCBr,13
COC(=O)OC,32
CCCCCCCCCC,45
CCOC=O | ClCCCCl,32
COC=O,28
COCOC,1
CCCOC=O | CCCCCCC,76
OCC(F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,20
ClC[C@H]1CO1,1
CCCCC | CCCCOC=O,25
CCCCCCN,1
C1COCCO1 | O=C1CCCC1,15
CC(C)(C)O,6
C1CCOCC1 | CCCCCCO,11
CCCCCCCCCC(=O)OC | CCCCCCCCCCCC,19
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCC,19
CCCCOC(C)=O | ClCCCCCl,16
CN1CCCC1=O,10
COC(=O)OC | CCCCCCCC,62
CCCOC=O | CCCCCC,58
OCCO | OCc1ccccc1,12
CC(=O)CC(C)=O,6
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1ccccn1,72
CCN(CC)CC,2
CC/C=C\CCO,5
CC(C)C(C)C,2
CCCC(=O)OC | CCCCCCCC,21
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CCO,24
O=C1CCCC1,1
Clc1ccccc1,2
O | CCCOC(C)=O,53
CCOC(=O)C(=O)OCC,8
BrCCCBr | CCOC=O,14
CCCCC#N,1
CCOC(=O)C(C)C | CCCO,22
COC=O | ClCCCCCl,16
CCCCOC(=O)CC | ClCCCCl,11
BrCCCBr | CCOC(C)=O,14
CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
C1CCOCC1 | CCCCO,40
CCCCOC(=O)CCC | ClCCCCl,16
CCCCCC(C)=O,3
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCO,24
CCOC(C)=O | CCCCCCCC,69
CCOC(=O)C(C)C | CO,22
ClCCCl | CCCOC(=O)CCC,16
CCCOC(C)=O | CCCCCCC,65
CCOC(C)=O | CCCCC,33
O=C1CCCCC1,6
O | CCCC(=O)OC,44
Cc1ccncc1 | CO,10
ClCCCl | CCCOC=O,15
C1CCOC1 | CCCCCCCO,9
CCCC(=O)OC,14
CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,21
C1COCO1 | CCCCCC(C)=O,23
CCCCCCCCCCCCCCCC,6
C1CCOCC1,35
COC(C)=O | CCCCC(=O)OC | CCCCCCCC,68
CCOC=O | ClCCCCCCl,32
CCOC(C)=O,36
c1ccccc1,9
O,399
CCCCCOC=O | ClCCCCCCCl,14
