Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
7cade294b03b4c4880f65c75a86fb87c,298.15,101.0,Liquid,2,COC=O,Solvent,0.1205,,ClCCCCCCCl,Solvent,0.8795,,,,,,1.05733,0.00022000000000000006,10.1016/j.jct.2006.10.008
42e87d9fdcd24d178c76ac98aa30eeb5,298.15,101.0,Liquid,2,COC=O,Solvent,0.2277,,ClCCCCCCCl,Solvent,0.7723,,,,,,1.0509300000000004,0.00021000000000000004,10.1016/j.jct.2006.10.008
fc551b48a21f4f02ba719341b6e74d7d,298.15,101.0,Liquid,2,COC=O,Solvent,0.3234,,ClCCCCCCCl,Solvent,0.6766,,,,,,1.0445200000000003,0.00020500000000000005,10.1016/j.jct.2006.10.008
a34d83cd682b492183796c5fb2e19f3a,298.15,101.0,Liquid,2,COC=O,Solvent,0.4146,,ClCCCCCCCl,Solvent,0.5853999999999999,,,,,,1.0378500000000002,0.00020000000000000006,10.1016/j.jct.2006.10.008
6c3f26f56ca14c27acc693721d16bb99,298.15,101.0,Liquid,2,COC=O,Solvent,0.4858,,ClCCCCCCCl,Solvent,0.5142,,,,,,1.0320300000000002,0.00019500000000000005,10.1016/j.jct.2006.10.008
0f146a9548d34cb9a9dd20c49006f119,298.15,101.0,Liquid,2,COC=O,Solvent,0.555,,ClCCCCCCCl,Solvent,0.44499999999999995,,,,,,1.0257300000000003,0.00018500000000000005,10.1016/j.jct.2006.10.008
5f4dee690987469e83c0466e90173d0a,298.15,101.0,Liquid,2,COC=O,Solvent,0.6169,,ClCCCCCCCl,Solvent,0.3831,,,,,,1.0196800000000001,0.00018000000000000004,10.1016/j.jct.2006.10.008
8b5462f61226456ea899dd07648e11b8,298.15,101.0,Liquid,2,COC=O,Solvent,0.6713,,ClCCCCCCCl,Solvent,0.3287,,,,,,1.0138700000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
cd33b8f1a6ab4010876aa8d3245eb1ae,298.15,101.0,Liquid,2,COC=O,Solvent,0.7244,,ClCCCCCCCl,Solvent,0.27559999999999996,,,,,,1.0077100000000003,0.00017000000000000004,10.1016/j.jct.2006.10.008
50e198004bd1461382fc5e764013505e,298.15,101.0,Liquid,2,COC=O,Solvent,0.7696,,ClCCCCCCCl,Solvent,0.23040000000000005,,,,,,1.0021600000000002,0.00016500000000000005,10.1016/j.jct.2006.10.008
